Ref ID,Renewable Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,"Connection to communal, district or campus heat network","New, renovation or expansion of existing heat network",Number of customer connections,Number of buildings,"Types of Building (domestic, non domestic or mixed)",Types of buildings,Secondary plant technology,Third plant technology,Backup plant technology,Installed Capacity (MWelec),Installed Generation Capacity (MW thermal),Length of distribution network in m,Average diameter of pipes in mm,Development Status,X-coordinate,Y-coordinate,Latitude,Longitude
8565,,12/01/2022,Veolia ES (UK) Limited,Lewisham Spine Heat Network Expansion (Alternative Route),District,Expansion,,,Mixed,Unspecified,Gas Fired CHP,,,,,1037,,Under Construction,535589,178016,51.48485013172189,-0.04863846413012668
8566,,12/01/2022,Veolia ES (UK) Limited,Lewisham Spine Heat Network Expansion,District,Expansion,,,Mixed,Unspecified,Gas Fired CHP,,,,,1037,,Under Construction,535589,178016,51.48485013172189,-0.04863846413012668
8584,,10/03/2021,Leeds City Council,Leeds PIPES - City Centre (Phase 2),District,New,236,6,Mixed,"Residential, Office",Gas Fired CHP,,,,,5000,300,Under Construction,429835,434078,53.802152024569644,-1.5484867582025736
9015,,21/05/2024,University of West London ,University Of West London - Ground Source Heat Pump,District,New,,,Non Domestic,Industrial,,,,,5,,,Appeal Granted,426706,522077,54.59317945859837,-1.5882108721874175
9540,,08/07/2024,Network Homes,Central Middlesex Hospital - 158 Flats & Offices,District,New,,,,Unspecified,,,,,,7500,,Planning Permission Granted,534834,195736,51.644265679646544,-0.05271377048491443
9932,,15/11/2021,Ashford Borough Council,Elwick Place - Phase 2 - 200 Apartments,District,Expansion,58,1,Domestic,Residential,Air Source Heat Pumps,,,,,,,Planning Application Submitted,431147,433438,53.79632332920955,-1.5286314317464067
9995,,19/01/2022,Leicester City Council,The Leys - Internal/External Refurbishments,District,New,,,,Unspecified,,,,,,,,Planning Permission Granted,331479,668933,55.908601259734155,-3.0976412180338135
10573,,07/02/2022,Royal Borough of Kensington and Chelsea,Notting Dale Heat Network ,District,New,,,,Unspecified,,,,20,,,,Planning Permission Granted,520759,413911,53.607846226114276,-0.17629157732135498
10670,,23/02/2022,Watford Parade (Gibraltar) Limited,The Parade - 147 Flats & Retail Space,District,New,3,3,Non Domestic,Office,Air Source Heat Pumps,,,,,,,Planning Application Submitted,260787,662365,55.83436958167543,-4.224343739133244
10912,,01/04/2022,Stanhope Plc / SB Royal Holdings Limited,Royal Street Site - Commercial and 133 Flats,District,New,,,Domestic,Residential,,,,95,,5000,,Planning Application Submitted,486007,414482,53.61982668976635,-0.7012063356302062
10948,,06/04/2022,Throgmorton Investments Limited,Balham High Road - 44 Flats & Commercial Space,District,New,,,,Unspecified,,,,58,,650,560,Planning Permission Granted,549486,179288,51.49278007309066,0.1518996218376363
11135,,06/05/2022,Sherrygreen Homes Limited,"Anchor Wharf, E3 - 225 Flats",District,Expansion,525,13,Mixed,"Residential, Primary School, Unspecified Commercial",,,,,,,,Planning Permission Granted,535142,177446,51.47983482847089,-0.055290088541747884
11136,,06/05/2022,Readyset Resources Limited,133 Brent Street - Offices & 17 Flats,District,Expansion,167,4,Domestic,Residential,,,,,,,,Under Construction,535142,177446,51.47983482847089,-0.055290088541747884
11158,,29/04/2024,Sorbon Estates,Wellington Way - 105 Flats,District,New,,,Non Domestic,Unspecified,,,,,,,,Planning Application Submitted,403542,96723,50.770081841232695,-1.9511376948300279
