PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region
40542,Port Talbot Power Station,277150,188450,Tata Steel Ltd,Iron & steel industries,718452.8969,Wales
40552,Scunthorpe Power Station,491360,410920,British Steel Ltd,Iron & steel industries,537767.9246,England
40547,Scunthorpe Blast Furnaces,491624,410272,British Steel Ltd,Iron & steel industries,342981.6913,England
14245,Hope Cement Works,416575,382316,Hope Construction Materials Ltd,Cement,302091.9278,England
40545,Port Talbot BFG Flaring,277270,187990,Tata Steel Ltd,Iron & steel industries,298623.431,Wales
40538,Port Talbot Blast Furnaces,277090,188030,Tata Steel Ltd,Iron & steel industries,281422.106,Wales
8059,New Rugby,448700,275600,CEMEX UK Cement Ltd,Cement,280723.5392,England
40537,Port Talbot Sinter,276520,188020,Tata Steel Ltd,Iron & steel industries,261612.5918,Wales
8037,Ketton,498400,305300,Castle Cement Ltd,Cement,199716.6012,England
40546,Scunthorpe Sinter,492050,409660,British Steel Ltd,Iron & steel industries,193985.5512,England
7702,Billingham,447210,522410,Terra Nitrogen (UK) Ltd,Chemical industry,192000,England
9013,Fife Ethylene Plant,318300,689500,ExxonMobil Chemical,Chemical industry,187334.5039,Scotland
14686,Tunstead Cement,409629,375547,Tarmac Cement & Lime Ltd,Cement,175229.5145,England
40540,Port Talbot Morfa Coke Ovens,277070,185800,Tata Steel Ltd,Iron & steel industries,170101.7098,Wales
9023,Grangemouth Olefins,294400,681200,Ineos Manufacturing Scotland Ltd,Chemical industry,164159.1713,Scotland
14417,Cauldon Cement,408491,349613,Lafarge Cauldon Ltd,Cement,154977.8208,England
8015,Ribblesdale,375200,443700,Castle Cement Ltd,Cement,148579.1686,England
8038,Padeswood,329100,362200,Castle Cement Ltd,Cement,145878.5564,Wales
14440,Grangemouth CHP,294400,681200,Grangemouth CHP Ltd,Chemical industry,140079.1234,Scotland
11128,Dunbar Works,370700,676307,Blue Circle Industries,Cement,125159.8349,Scotland
9098,Ince,347295,376508,Kemira Growhow UK Ltd,Chemical industry,123458.0181,England
8578,Wilton,456800,522000,SembCorp Utilities (UK) Ltd,Chemical industry,103451.4038,England
13729,Winnington Sodium Carbonate Manufacturing Site,364343,374639,Winnington CHP Ltd,Chemical industry,99650.02313,England
8684,Aberthaw,303310,167550,Blue Circle Industries Plc,Cement,94428.13384,Wales
40553,Scunthorpe Rolling Mill Furnaces,491350,411210,British Steel Ltd,Iron & steel industries,88980.32093,England
14454,Cookstown,92327,535299,Lafarge Ireland Ltd,Cement,85570.0081,Northern Ireland
43118,Saltend,516265,428187,Ineos Acetyls UK Ltd,Chemical industry,80273.34364,England
40543,Port Talbot Rolling Mill Furnaces,277990,187050,Tata Steel Ltd,Iron & steel industries,77282.88253,Wales
40555,Scunthorpe BFG Flaring,491600,410570,British Steel Ltd,Iron & steel industries,76844.62731,England
13763,Teesside Hydrogen Plant,450894,523490,BOC Ltd,Chemical industry,60637.89215,England
9548,Grimsby,521800,414700,Millennium Inorganic Chemicals Ltd,Chemical industry,59192.34818,England
8172,Ince,345700,376300,Quinn Glass Ltd,Other mineral industries,52205.53337,England
13764,Cassel Works,446683,522000,Lucite International UK Ltd,Chemical industry,49727.23158,England
8915,Stallingborough,521800,414850,Millennium Inorganic Chemicals Ltd,Chemical industry,48440.18182,England
8279,Greatham,451350,526540,Tioxide Europe Ltd,Chemical industry,44797.63636,England
14183,Barry,314046,168863,Dow Corning Ltd,Chemical industry,39849.54483,Wales
9623,Barnsley,437380,408450,Rockware Glass Ltd,Other mineral industries,39697.47983,England
8260,Greengate,350800,394200,Pilkington UK Ltd,Other mineral industries,38481.77506,England
13707,Lostock Soda Ash Manufacture,368657,374637,Tata Chemicals Europe Ltd,Chemical industry,36093.77497,England
11470,Alloa,288120,692374,O-I Manufacturing UK Ltd,Other mineral industries,32826.0311,Scotland
8543,Wheatley,460610,406530,Rockware Glass Ltd,Other mineral industries,31484.19911,England
40539,Port Talbot Oxygen Furnaces,277315,186820,Tata Steel Ltd,Iron & steel industries,30022.46806,Wales
9075,Dalry,229300,650500,DSM Nutritional,Chemical industry,29010.43938,Scotland
14914,Maydown Works,65311,583384,A & AT UK Ltd,Chemical industry,27764.74728,Northern Ireland
13433,Great Coates,522237,408540,Cofely Industrial Energy Services Ltd,Chemical industry,24069.17935,England
40549,Scunthorpe Appleby Coke Ovens,491655,410975,British Steel Ltd,Iron & steel industries,23307.35377,England
9596,Bridgend,296300,184000,Rockwool Ltd,Other mineral industries,22982.10326,Wales
11750,East Leake Gypsum Works,455503,328085,BPB United Kingdom Ltd,Other mineral industries,21946.34732,England
11478,Derrylin,36251,486902,Quinn Glass Ltd,Other mineral industries,20732.82322,Northern Ireland
14242,Whittlesey,524700,297200,Hanson Building Products Ltd,Other mineral industries,19886.2142,England
9594,Portbury,350700,176800,Lafarge Plasterboard Ltd,Other mineral industries,19507.50652,England
14661,Eggborough,456928,423529,Saint-Gobain Glass (United Kingdom) Ltd,Other mineral industries,19380.003,England
8541,Knottingley,449370,423360,Rockware Glass Ltd,Other mineral industries,18844.20213,England
11387,Irvine,232000,639000,Rockware Glass Ltd,Other mineral industries,18819.28513,Scotland
13442,Selby,462515,431817,Sedalcol UK Ltd,Chemical industry,18311.97844,England
40710,Teesside Beam Mill,454200,522000,British Steel Ltd,Iron & steel industries,18098.93123,England
8263,Leeds,431000,432400,Allied Glass Containers Ltd,Other mineral industries,17874.14683,England
14220,Newton Aycliffe,426630,523721,INEOS ChlorVinyls Ltd,Chemical industry,16554.84073,England
8626,Goole,472200,423000,Guardian Industries UK Ltd,Other mineral industries,16164.9157,England
40520,Low Moor,416188,428368,Solenis UK Industries Ltd,Chemical industry,16068.7807,England
8459,Leicester Brickworks,441590,311340,Ibstock Brick Ltd,Other mineral industries,15831.52302,England
11476,Grangemouth,295570,680280,Polimeri Europa UK Ltd,Chemical industry,15510.1531,Scotland
11121,Middlewich Site,371500,364700,British Salt Ltd,Other mineral industries,15486.08178,England
8588,Knottingley,450730,423880,Allied Glass Containers Ltd,Other mineral industries,15431.65751,England
14683,Wilton Bioethanol Plant,456950,520550,Ensus UK Ltd,Chemical industry,15353.57048,England
8708,Shotton,331400,369500,Tata Steel UK Limited,Iron & steel industries,15130.36364,Wales
9595,Sittingbourne,591950,167830,Knauf (UK) GmbH,Other mineral industries,14676.81082,England
8600,Macclesfield,392500,375150,AstraZeneca UK Ltd,Chemical industry,14437.67499,England
9597,Immingham,519800,414900,Knauf UK GmbH,Other mineral industries,14399.66617,England
8149,Huddersfield,416400,418700,Syngenta Ltd,Chemical industry,14199.5043,England
8261,Warrington,359950,386150,Solvay Interox Ltd,Chemical industry,13778.4581,England
14401,D200 Energy Centre,454490,336560,D200 Energy Ltd,Chemical industry,13695.53705,England
8362,Rotherham,442601,393358,Beatson Clark Plc,Other mineral industries,13456.22053,England
14013,Tremorfa Sections Mill,320354,175955,Celsa Manufacturing (UK) Ltd,Iron & steel industries,13155.31606,Wales
8913,Tremorfa 2,321200,176300,Celsa Manufacturing (UK) Ltd,Iron & steel industries,13131.55592,Wales
40548,Scunthorpe Oxygen Furnaces,492990,408610,British Steel Ltd,Iron & steel industries,12350.30057,England
8050,Hythe,443550,104550,ExxonMobil Chemical Ltd,Chemical industry,12225.29348,England
8709,Newport,333410,185810,Solutia UK Ltd,Chemical industry,12116.15095,Wales
14868,"Llanelli, Carmarthenshire",252732,199387,"Tata Steel, Trostre Tin",Iron & steel industries,11753.49502,Wales
40516,Speke,343664,384539,Elanco UK AH Ltd,Chemical industry,11256.8914,England
11126,Southbank Works,359700,388100,PQ Silicas UK Ltd,Chemical industry,11190.19153,England
8121,Great Heck,459700,421500,Plasmor Ltd,Other mineral industries,11135.45645,England
11748,Sherburn Gypsum Works,451000,434400,BPB United Kingdom Ltd,Other mineral industries,10608.49661,England
14241,Measham,433500,310500,Hanson Building Products Ltd,Other mineral industries,10519.59206,England
11749,Kirkby Thore Gypsum Works,364500,526700,BPB United Kingdom Ltd,Other mineral industries,10276.8759,England
40709,Skinningrove,470810,519698,British Steel Ltd,Iron & steel industries,10198.53998,England
11747,Robertsbridge Gypsum Works,572400,119700,BPB United Kingdom Ltd,Other mineral industries,10113.8616,England
7019,Ribblesdale,374830,443640,Johnson Matthey Plc,Chemical industry,9960,England
14238,Desford,445500,306500,Hanson Building Products Ltd,Other mineral industries,9916.082457,England
8534,Llanwern Steelworks,335100,186500,Tata Steel UK Limited,Iron & steel industries,9880.458136,Wales
8730,Knottingley,450200,423600,Stolzle Flaconnage Ltd,Other mineral industries,9585.362673,England
9592,Queensferry,332540,367780,Knauf Insulation Ltd,Other mineral industries,9507.986108,Wales
