ï»¿PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region,Latitude,Longitude
40542,Port Talbot Power Station,277150,188450,Tata Steel Ltd,Iron & steel industries,718452.8969,Wales,51.58147963269471,-3.7744186603998626
40552,Scunthorpe Power Station,491360,410920,British Steel Ltd,Iron & steel industries,537767.9246,England,53.5869146565956,-0.6213464952743633
40547,Scunthorpe Blast Furnaces,491624,410272,British Steel Ltd,Iron & steel industries,342981.6913,England,53.58104594643385,-0.6175496731909876
14245,Hope Cement Works,416575,382316,Hope Construction Materials Ltd,Cement,302091.9278,England,53.33749254152956,-1.75254286198258
40545,Port Talbot BFG Flaring,277270,187990,Tata Steel Ltd,Iron & steel industries,298623.431,Wales,51.57737176460262,-3.772526758149024
40538,Port Talbot Blast Furnaces,277090,188030,Tata Steel Ltd,Iron & steel industries,281422.106,Wales,51.57769199119733,-3.7751370296670324
8059,New Rugby,448700,275600,CEMEX UK Cement Ltd,Cement,280723.5392,England,52.37628309513931,-1.2860373692845457
40537,Port Talbot Sinter,276520,188020,Tata Steel Ltd,Iron & steel industries,261612.5918,Wales,51.57747743560489,-3.7833550296136402
8037,Ketton,498400,305300,Castle Cement Ltd,Cement,199716.6012,England,52.63653680776998,-0.5473766230597857
40546,Scunthorpe Sinter,492050,409660,British Steel Ltd,Iron & steel industries,193985.5512,England,53.575472236280504,-0.611297510505455
7702,Billingham,447210,522410,Terra Nitrogen (UK) Ltd,Chemical industry,192000,England,54.59467726988485,-1.2708582687313956
9013,Fife Ethylene Plant,318300,689500,ExxonMobil Chemical,Chemical industry,187334.5039,Scotland,56.091281459851736,-3.314654859582395
14686,Tunstead Cement,409629,375547,Tarmac Cement & Lime Ltd,Cement,175229.5145,England,53.276818722700085,-1.8570587591240366
40540,Port Talbot Morfa Coke Ovens,277070,185800,Tata Steel Ltd,Iron & steel industries,170101.7098,Wales,51.55764652851537,-3.774644731088635
9023,Grangemouth Olefins,294400,681200,Ineos Manufacturing Scotland Ltd,Chemical industry,164159.1713,Scotland,56.01205564513952,-3.695330107525252
14417,Cauldon Cement,408491,349613,Lafarge Cauldon Ltd,Cement,154977.8208,England,53.043719808232346,-1.8748034004789342
8015,Ribblesdale,375200,443700,Castle Cement Ltd,Cement,148579.1686,England,53.88888385048366,-2.378810233387536
8038,Padeswood,329100,362200,Castle Cement Ltd,Cement,145878.5564,Wales,53.152196127931404,-3.0616410920335166
14440,Grangemouth CHP,294400,681200,Grangemouth CHP Ltd,Chemical industry,140079.1234,Scotland,56.01205564513952,-3.695330107525252
11128,Dunbar Works,370700,676307,Blue Circle Industries,Cement,125159.8349,Scotland,55.97884706230757,-2.471103117694486
9098,Ince,347295,376508,Kemira Growhow UK Ltd,Chemical industry,123458.0181,England,53.28291099659461,-2.791969059057167
8578,Wilton,456800,522000,SembCorp Utilities (UK) Ltd,Chemical industry,103451.4038,England,54.590008577871934,-1.122533212966453
13729,Winnington Sodium Carbonate Manufacturing Site,364343,374639,Winnington CHP Ltd,Chemical industry,99650.02313,England,53.267536137072305,-2.536075315708358
8684,Aberthaw,303310,167550,Blue Circle Industries Plc,Cement,94428.13384,Wales,51.398714201847454,-3.391271062572867
