PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region
9039,Aberdeen,391700,807070,Aberdeen Royal Infirmary,Public administration,8177.109431,Scotland
8635,Royal Liverpool University Hospital,335960,390730,Dalkia Utilities Services,Public administration,8092.512976,England
8678,The Royal Victoria Infirmary,424500,564900,Dalkia Utilities Services,Public administration,7686.1725,England
14410,Queens Medical Centre (NUH) CHP Plant,454810,338760,E.On Connecting Energies Ltd,Public administration,6618.77373,England
8793,Southampton General Hospital,439600,114900,Southampton University Hospitals NHS Trust,Public administration,6426.165783,England
8935,St Georges Hospital,526925,171325,St Georges Healthcare NHS Trust,Public administration,6425.658191,England
8751,St. Thomas' Hospital,530600,179300,Guys & St Thomas'  Hospital NHS Trust,Public administration,5769.775107,England
14441,Ninewells Hospital,339000,730380,NHS Tayside,Public administration,5767.104295,Scotland
8619,Freeman Hospital,426100,567600,Dalkia Utilities Services,Public administration,5426.037363,England
11755,Kings College Hospital,532587,176187,Dalkia Utility Services,Public administration,5321.550106,England
13634,South Glasgow Hospitals,253350,665670,Greater Glasgow & Clyde NHS Health Board,Public administration,5295.713692,Scotland
8907,Royal Free Hospital,527297,185410,Royal Free Hampstead NHS Trust,Public administration,5239.116466,England
8873,John Radcliffe Hospital,453900,207600,Oxford Radcliffe Hospitals NHS Trust,Public administration,5106.254984,England
11957,Kings Yard CHP Energy Centre,537571,184555,Cofely East London Energy,Public administration,5092.674761,England
8770,Bristol,358400,173550,United Bristol Healthcare NHS Trust,Public administration,4910.467645,England
8744,University Hospital of Wales,317500,179400,Cardiff & Vale NHS Trust,Public administration,4844.131636,Wales
9076,Faslane,224900,689700,Babcock Naval Services Ltd,Public administration,4738.025122,Scotland
8752,Guys Hospital,532800,179800,Guys & St Thomas' NHS Trust,Public administration,4718.720201,England
8997,Belfast,144579,529209,Royal Hospitals,Public administration,4444.267478,Northern Ireland
8891,Manchester,384979,396212,Central Manchester & Manchester Children's University Hospital NHS,Public administration,4325.502785,England
40711,Thetford,585765,282380,Baxter Healthcare Ltd,Public administration,4186.420669,England
8858,Hope Hospital,378700,399000,Salford Royal Hospitals NHS Trust,Public administration,4046.611028,England
8658,Queen Elizabeth Medical Centre,404090,283950,University Hospital Birmingham NHS Trust,Public administration,3790.197491,England
8985,Londonderry,60988,579477,Altnagelvin Hospital,Public administration,3771.606003,Northern Ireland
8854,Leicester Royal Infirmary,458600,303600,University Hospitals of Leicester NHS Trust,Public administration,3385.956674,England
13444,University Hospital,437942,280527,Warwickshire NHS Trust,Public administration,3328.982632,England
11744,City General Hospital,385795,344997,University Hospital of North Staffordshire (NHS) Trust,Public administration,3303.780581,England
8787,Great Ormond Street Hospital,530500,182000,Great Ormond Street Hospital for Children NHS Trust,Public administration,3250.076703,England
8791,Royal Devon & Exeter Hospital,293700,91800,Royal Devon & Exeter  NHS Foundation Trust,Public administration,3227.872683,England
9635,City Campus,445670,334410,Nottingham University Hospitals NHS Trust,Public administration,3153.089468,England
9070,Glasgow Royal Infirmary,260100,665600,North Glasgow University Hospitals NHS Trust,Public administration,3134.770636,Scotland
8825,Addenbrookes Hospital,546500,255000,Addenbrookes NHS Trust,Public administration,3000.484186,England
8654,New Cross Hospital,393500,299900,The Royal Wolverhampton Hospitals NHS Trust,Public administration,2951.464345,England
11726,Charing Cross Hospital,523600,177900,Imperial College Healthcare NHS Trust,Public administration,2891.787237,England
11727,Hammersmith Hospital,522400,181200,Imperial College Healthcare NHS Trust,Public administration,2850.321101,England
40255,Sunderland Royal Hospital,437866,556587,City Hospitals Independent Commercial Enterprises Ltd,Public administration,2839.784018,England
8890,Chelsea and Westminster Hospital,526300,177700,Chelsea & Westminster Healthcare Trust,Public administration,2812.640174,England
14969,Hull Royal Infirmary,508373,428788,Hull & East Yorkshire Hospitals NHS Trust,Public administration,2785.997965,England
8763,Royal Hallamshire Hospital,433800,386900,Sheffield teaching Hospitals NHS Trust,Public administration,2689.089436,England
14442,Western General Hospital,323000,675050,NHS Lothian,Public administration,2686.821128,Scotland
11131,George Square,325700,673000,University of Edinburgh,Public administration,2678.994245,Scotland
8291,Lincoln County Hospital,498800,371800,United Lincolnshire Hospitals NHS Trust,Public administration,2660.449713,England
11106,Royal United Hospital Bath,372850,165950,Royal United Hospital Bath NHS Trust,Public administration,2586.819976,England
9055,Inverness,268600,844600,Raigmore Hospital,Public administration,2474.363636,Scotland
9033,Edinburgh,329100,670400,Royal Infirmary of Edinburgh,Public administration,2466.714335,Scotland
8965,Norfolk & Norwich University Hospital,618143,307129,Serco Services,Public administration,2451.106803,England
8257,The James Cook University Hospital,450700,517400,South Tees Hospitals NHS Trust,Public administration,2440.015006,England
8987,Belfast,145230,528418,Belfast City Hospital,Public administration,2424.299002,Northern Ireland
8766,Royal Bolton Hospital,371890,406460,Bolton Hospitals NHS Trust,Public administration,2416.783874,England
8786,Russells Hall Hospital,392000,289300,Interserve (Facilities Management) Ltd,Public administration,2411.437527,England
13462,Lister Hospital,523056,226590,East & North Herts NHS Trust,Public administration,2398.66746,England
13671,Broadstreet Energy Scheme,406200,286800,Birmingham District Energy Company Ltd,Public administration,2396.742676,England
8988,Portadown,113959,513437,Craigavon Area Hospital,Public administration,2352.643336,Northern Ireland
8874,Southmead Hospital,359150,177490,North Bristol NHS Trust,Public administration,2334.116594,England
8356,Oxford,451630,206920,University of Oxford,Public administration,2278.273429,England
8944,Kingston Hospital,519600,169800,Kingston Hospital NHS Trust,Public administration,2256.164894,England
8811,Medway Maritime Hospital,577200,167500,Medway NHS Trust,Public administration,2207.794716,England
8863,Doncaster Royal Infirmary,459340,404320,Doncaster & Bassetlaw Hospitals NHS Trust,Public administration,2193.77643,England
8608,City Hospital,404800,287900,Sandwell & West Birmingham Hospital NHS Trust,Public administration,2043.833575,England
8711,Eastbourne District General Hospital,560250,100750,East Sussex Hospitals NHS Trust,Public administration,1994.304466,England
8860,Wythenshawe Hospital,380770,387940,South Manchester University Hospitals NHS Trust,Public administration,1969.64273,England
8861,Stepping Hill Hospital,391300,387400,Stockport NHS Foundation Trust,Public administration,1941.652513,England
14244,Northwick Park & St Marks Hospitals,516300,187600,London North West Healthcare NHS Trust,Public administration,1915.918195,England
8885,Royal Preston Hospital,353600,432900,Lancashire Hospitals NHS Trust,Public administration,1876.893627,England
8816,Victoria Hospital,333300,436500,"Blackpool, Fylde & Wyre Hospitals NHS Trust",Public administration,1865.798827,England
11096,Derby City General Hospital,432700,334800,Skanska Rashleigh Weatherfoil Ltd,Public administration,1825.402642,England
8429,Salisbury District Hospital,414680,127470,Salisbury District Hospital,Public administration,1818.16267,England
8887,Queens Park Hospital,369232,426715,East Lancashire Hospitals NHS Trust,Public administration,1813.569177,England
9634,Southend University Hospital,586260,187500,Southend University hospital NHS Foundation Trust,Public administration,1792.560248,England
8849,York Hospital,460208,453108,York Hospitals NHS Trust,Public administration,1760.457965,England
40712,North Manchester General Hospital,384893,402134,Manchester University NHS Foundation Trust,Public administration,1750.305136,England
8762,Northern General Hospital,436500,390300,Sheffield Teaching Hospitals NHS Trust,Public administration,1704.799765,England
8851,Derriford Hospital,249942,59462,Plymouth Hospitals NHS Trust,Public administration,1703.200675,England
40281,Birmingham Heartlands Hospital,411787,286799,University Hospitals Birmingham NHS Foundation Trust,Public administration,1691.678989,England
14404,Peterborough City Hospital,516732,299949,Brookfield Multiplex Services Europe Ltd,Public administration,1651.734725,England
40283,St James Hospital CHP Plant,431610,434622,Vital Energi Solutions Ltd,Public administration,1641.442091,England
8376,Basildon Hospital,570200,187200,Basildon & Thurrock University Hospitals NHS Trust,Public administration,1639.834906,England
8903,Ashton - U - Lyne,395250,399650,Tameside & Glossop Acute Services NHS Trust,Public administration,1553.162301,England
8617,Gloucestershire Royal Hospital,384100,218600,Gloucestershire Hospitals NHS Trust,Public administration,1520.21221,England
9471,Royal Bournemouth Hospital,412760,94220,White Rose Environmental Ltd,Public administration,1496.771907,England
8866,Leighton Hospital,368300,358000,Mid Cheshire Hospitals NHS Trust,Public administration,1495.544179,England
9068,Gartnavel General Hospital,255400,668000,North Glasgow University Hospitals NHS Trust,Public administration,1485.87824,Scotland
7818,Royal Oldham Hospital,392000,406300,White Rose Environmental Ltd,Public administration,1482.750839,England
8977,St Marys Hospital,466610,100510,Carillion Services Ltd,Public administration,1478.981072,England
8886,Burnley General Hospital,385184,434505,East Lancashire Hospitals NHS Trust,Public administration,1451.277621,England
13450,Walsall Manor Hospital,400152,298264,Skanska Rashleigh Weatherfoil Ltd,Public administration,1451.206694,England
8670,Castle Hill Hospital,502550,432170,Hull & East Yorkshire Hospitals NHS Trust,Public administration,1447.241534,England
9089,Golden Jubilee National Hospital,248400,670800,NHS Scotland,Public administration,1446.545455,Scotland
8857,Queens Hospital,423160,324550,Burton Hospital NHS Trust,Public administration,1437.173978,England
8325,Morriston Hospital,266200,200200,Swansea NHS Trust,Public administration,1409.312022,Wales
8954,Darlington Memorial Hospital,428000,515000,County Durham & Darlington Acute Hospitals NHS Trust,Public administration,1379.798097,England
8872,Churchill Hospital,454308,206029,Oxford Radcliffe Hospitals NHS Trust,Public administration,1368.575455,England
,,,,,,,
8424,Pilgrim Hospital,533700,345600,United Lincolnshire Hospitals NHS Trust,Public administration,1350.650375,England
8800,Ealing Hospital,514300,179900,Dalkia Utilities Services,Public administration,1318,England
8344,Burghfield,467700,168400,AWE Plc,Public administration,1317.78972,England
8814,Royal Cornwall Hospital,179550,45250,Royal Cornwall Hospitals NHS Trust,Public administration,1284.945447,England
9038,Aberdeen,389530,806490,Woodend Hospital,Public administration,1279.909091,Scotland
11737,Kings Mill Hospital,451500,359800,Skanska Rashleigh Weatherfoil Ltd,Public administration,1273.021173,England
9080,Crosshouse,240100,638500,Crosshouse Hospital,Public administration,1271.181818,Scotland
8297,North Hampshire Hospital,462200,153900,ScottishPower Generation Ltd,Public administration,1241.560339,England
9626,Whiston Hospital,347900,391900,St Helens & Knowsley Hospitals  (NHS) Trust,Public administration,1237.133645,England
8702,St James Hospital,431700,434570,The Leeds Teaching Hospitals NHS Trust,Public administration,1229.802371,England
8799,Barnsley Hospital,433200,406900,Barnsley Hospital NHS Foundation Trust,Public administration,1229.045455,England
8894,The Royal Oldham Hospital,392030,406230,The Pennine Acute Hospitals NHS Trust,Public administration,1212.712702,England
8731,North Middlesex Hospital,533400,192300,North Middlesex University Hospitals NHS Trust,Public administration,1171.942719,England
8947,Stoke Mandeville Hospital,482500,211900,Buckinghamshire Hospitals NHS Trust,Public administration,1152.657055,England
8204,Airedale General Hospital,402600,444450,Airedale NHS Trust,Public administration,1147.954129,England
8706,Colchester,603720,223830,University of Essex,Public administration,1111.710857,England
14412,Sandwell General Hospital,400919,292165,Sandwell & West Birmingham Hospital NHS Trust,Public administration,1110.622432,England
8215,RAF St Athan,299034,168857,Ministry of Defence,Public administration,1108.100595,Wales
8998,Jordanstown,149819,539357,University of Ulster,Public administration,1101.068564,Northern Ireland
8723,RAF Honington,589250,274400,Ministry of Defence,Public administration,1073.727273,England
14398,Royal Berkshire Hospital,472458,173005,Royal Berkshire NHS Foundation Trust,Public administration,1069.33581,England
13724,Whipps Cross Hospital,538892,188592,Barts Health NHS Trust,Public administration,1045.619564,England
11055,Calderdale Royal Hospital,409500,423200,Vita Lend Lease Ltd,Public administration,1034.669979,England
9069,Stobhill General Hospital,260800,669100,North Glasgow University Hospitals NHS Trust,Public administration,1015.202528,Scotland
8968,Queen Elizabeth Hospital,426960,560570,Gateshead Health NHS Foundation Trust,Public administration,1000.91118,England
9027,Stirling,279600,692200,Stirling Royal Infirmary,Public administration,988.3636364,Scotland
9042,Forres,306080,861080,RAF Kinloss,Public administration,980.4024077,Scotland
