ï»¿PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region,Latitude,Longitude
9039,Aberdeen,391700,807070,Aberdeen Royal Infirmary,Public administration,8177.109431,Scotland,57.15442620088043,-2.1388308737965795
8635,Royal Liverpool University Hospital,335960,390730,Dalkia Utilities Services,Public administration,8092.512976,England,53.40947894721964,-2.9648381857430164
8678,The Royal Victoria Infirmary,424500,564900,Dalkia Utilities Services,Public administration,7686.1725,England,54.97811001903713,-1.6187498858882186
14410,Queens Medical Centre (NUH) CHP Plant,454810,338760,E.On Connecting Energies Ltd,Public administration,6618.77373,England,52.94343891794459,-1.1858144694553865
8793,Southampton General Hospital,439600,114900,Southampton University Hospitals NHS Trust,Public administration,6426.165783,England,50.93219633693499,-1.4378603647816792
8935,St Georges Hospital,526925,171325,St Georges Healthcare NHS Trust,Public administration,6425.658191,England,51.426727346108684,-0.17574585360245906
8751,St. Thomas' Hospital,530600,179300,Guys & St Thomas'  Hospital NHS Trust,Public administration,5769.775107,England,51.4975619944316,-0.11997304188126064
14441,Ninewells Hospital,339000,730380,NHS Tayside,Public administration,5767.104295,Scotland,56.4615980045806,-2.9914905616477
8619,Freeman Hospital,426100,567600,Dalkia Utilities Services,Public administration,5426.037363,England,55.00229120243331,-1.5935075875342042
11755,Kings College Hospital,532587,176187,Dalkia Utility Services,Public administration,5321.550106,England,51.469124906846695,-0.09253304477486328
13634,South Glasgow Hospitals,253350,665670,Greater Glasgow & Clyde NHS Health Board,Public administration,5295.713692,Scotland,55.861836509173,-4.344765919428833
8907,Royal Free Hospital,527297,185410,Royal Free Hampstead NHS Trust,Public administration,5239.116466,England,51.55322418127245,-0.16532361634048118
8873,John Radcliffe Hospital,453900,207600,Oxford Radcliffe Hospitals NHS Trust,Public administration,5106.254984,England,51.76449474833746,-1.2203751770180589
11957,Kings Yard CHP Energy Centre,537571,184555,Cofely East London Energy,Public administration,5092.674761,England,51.54313179183966,-0.017562314977751122
