ï»¿PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region,Latitude,Longitude
8733,Edgbaston,404796,283448,The University of Birmingham,Public administration,10451.2429,England,52.44897170620147,-1.930860241184563
14406,Electrical Engineering Building,526500,179500,"Imperial College of Science, Technology and Medicine",Public administration,10325.59024,England,51.50029086190696,-0.17893325692548512
8929,Liverpool,335770,390460,University of Liverpool Energy Co Ltd,Public administration,9442.719464,England,53.40702925641959,-2.9676408786889183
11968,Coventry,429919,275840,The University of Warwick,Public administration,8309.12751,England,52.3797844877907,-1.5618913480962413
8942,Manchester,384600,396800,The University of Manchester,Public administration,7876.07256,England,53.46771022082971,-2.233448381066742
40294,John Anderson Campus DEN,259731,665773,University of Strathclyde,Public administration,5474.900375,Scotland,55.86466076392247,-4.242952558829683
8256,RAF Fylingdales,486330,496750,T G Power Ltd,Public administration,5322.039521,England,54.358976105648246,-0.6730315037578022
13457,The University of Leicester,459412,303044,Leicester District Energy Company Ltd,Public administration,5190.664699,England,52.62191922925498,-1.1238104011002745
8826,Loughborough,452400,319350,Loughborough University,Public administration,5150.634355,England,52.76921121318763,-1.2247881911103529
11957,Kings Yard CHP Energy Centre,537571,184555,Cofely East London Energy,Public administration,5092.674761,England,51.54313179183966,-0.017562314977751122
40515,"PDHU Pump House, Pimlico",529700,177900,Westminster City Council,Public administration,4662.288758,England,51.48518762904236,-0.1334449362859117
13750,Norwich District Heating and CHP,619391,307593,University of East Anglia,Public administration,4557.070293,England,52.62174807151465,1.2397786560488233
8855,"University of York, Heslington",462200,450600,Bardmilne Ltd,Public administration,4214.0442,England,53.94777367204071,-1.0537876081861939
9074,Glasgow,256870,666730,University of Glasgow,Public administration,3626.236871,Scotland,55.87241113575683,-4.289133920535216
8836,Bicester Garrison,461112,217882,Ministry of Defence,Public administration,3617.38976,England,51.85618981515388,-1.1140738674344526
8646,RNAS Yeovilton,354750,123750,Ministry of Defence,Public administration,3431.692069,England,51.011340406926976,-2.6463819290624615
8366,RAF Brize Norton,428750,207100,Ministry of Defence,Public administration,3095.544183,England,51.76185047552278,-1.584832292381165
8771,Nottingham,454700,338100,University of Nottingham,Public administration,3066.432343,England,52.93751780459003,-1.1875623033212093
8665,Guildford,498190,150250,University of Surrey,Public administration,2765.783195,England,51.242985940826614,-0.5947096867109914
11130,King's Buildings,326600,670600,University of Edinburgh,Public administration,2568.886145,Scotland,55.92285545352854,-3.176121551550016
8663,Southampton,442500,115300,University of Southampton,Public administration,2560.925718,England,50.93558723649793,-1.3965489534007594
13456,West Smithfield,531869,181492,Skanska Rashleigh Weatherfoil Ltd,Public administration,2263.830559,England,51.51696610567242,-0.10088370119556314
11751,Aston University Energy Centre,407500,287600,Birmingham District Energy Co,Public administration,2165.537705,England,52.486268163876524,-1.8909823672189834
8426,Bristol,358400,173200,University of Bristol,Public administration,2119.705522,England,51.45624075598891,-2.6001157104179393
8637,Colchester Garrison,599800,224500,Ministry of Defence,Public administration,2100.688662,England,51.88324838241751,0.9016492200186419
8908,Canterbury,614180,159950,University of Kent,Public administration,2080.102767,England,51.298369606807285,1.070908901134218
8700,Reading,473352,173710,The University of Reading,Public administration,1965.369735,England,51.45762542079928,-0.9456357719098534
11987,Weybridge (Veterinary Laboratories Agency),504972,162634,DEFRA,Public administration,1891.217165,England,51.35309538702769,-0.4939471165558063
13760,Whitehall District Heating Scheme,530153,180174,Cofely Ltd,Public administration,1827.035842,England,51.50551932301675,-0.12608663610433476
40274,Whitehall,529792,180162,ENGIE FM Ltd,Public administration,6.68856,England,51.50549442934089,-0.1312895267302401
8722,RAF Fylingdales,486330,496750,Ministry of Defence,Public administration,6.269656364,England,54.358976105648246,-0.6730315037578022
9612,Shawbury,355700,321800,RAF,Public administration,421.9090909,England,52.79193856408837,-2.65837800711412
13051,London,529500,182200,University College London,Public administration,408.5921727,England,51.5238761964936,-0.13474638074685932
8781,Frenchay,362350,178100,The University of the West of England Bristol,Public administration,397.5149042,England,51.50057439968026,-2.5437924008707165
8647,RAF High Wycombe,483200,198700,Ministry of Defence,Public administration,524.7771027,England,51.680910511156256,-0.7980159860787941
8705,Manchester,384200,397200,Manchester Metropolitan University,Public administration,713.8774857,England,53.471293633955334,-2.239494058827427
8999,Coleraine,101977,593953,University of Ulster,Public administration,682.9864091,Northern Ireland,55.149907426860985,-6.679558370945748
8780,Milton Keynes,488910,237030,The Open University,Public administration,657.432931,England,52.02457141925057,-0.7056033830336047
13753,HMS Collingwood,457200,104100,Ministry of Defence,Public administration,638.8333636,England,50.83361448136916,-1.1891204331433254
8784,Bath,377400,163900,University of Bath,Public administration,1728.178537,England,51.37370156701871,-2.32607031426882
8648,DCAE Cosford,379819,305422,Ministry of Defence,Public administration,1779.272727,England,52.64615515561701,-2.299707274621723
8870,Uxbridge,506000,182692,Brunel University,Public administration,1681.516119,England,51.53319346968308,-0.47318986753319653
8868,Brighton,534700,109200,The University of Sussex,Public administration,1658.596366,England,50.86662104806729,-0.087201560580212
9049,Aberdeen,394180,808420,University of Aberdeen,Public administration,1629.913282,Scotland,57.16659195923944,-2.0978698459290945
8958,Donnington,370000,313800,Ministry of Defence,Public administration,1626.22449,England,52.721011935100165,-2.4455930011871705
9053,Lossiemouth,322290,869720,RAF Lossiemouth,Public administration,1620.818182,Scotland,57.710526845630376,-3.3058518581130785
8805,Newcastle Under Lyme,381610,345272,Keele University,Public administration,1472.526655,England,53.00444389208734,-2.2754955466917353
9029,St Andrews,350170,716830,University of St Andrews,Public administration,1398.272727,Scotland,56.3411912345055,-2.807667435024664
8782,RAF Marham,572123,307972,Ministry of Defence,Public administration,1275,England,52.64218314009048,0.5425042253338868
8639,Royal Military Academy Sandhurst,486100,161400,Ministry of Defence,Public administration,1380.298784,England,51.34517164225082,-0.7651797095803726
8949,Exeter,292000,94000,University of Exeter,Public administration,1367.138677,England,50.73554009834854,-3.5318007191707825
8747,HMS Sultan,459286,100635,Ministry of Defence,Public administration,1254.111943,England,50.80224924259876,-1.1600611953477868
8835,HMP Garth & HMP Wymott,350300,420600,Her Majestys Prison Service (HMPS),Public administration,1247.346911,England,53.67948583682942,-2.7538975724026304
8644,Wattisham Airfield,603200,251300,Ministry of Defence,Public administration,1177.846349,England,52.12264969852291,0.9668594316309753
8724,RAF Wyton,528250,273750,Ministry of Defence,Public administration,852.2727273,England,52.34683232724523,-0.11865152606218707
8645,RNAS Culdrose,167100,25300,Ministry of Defence,Public administration,780.2148464,England,50.08207108829708,-5.256850278448522
8735,RAF Waddington,498200,364900,Ministry of Defence,Public administration,1507.090909,England,53.17216216464767,-0.5323424749992914
9630,GCHQ Benhall,391850,222234,GCHQ,Public administration,1165.448272,England,51.89859046208503,-2.119852904794506
8412,RAF Coningsby,522700,357500,Ministry of Defence,Public administration,927.8181818,England,53.10060054203367,-0.16882646474174035
8845,Newcastle upon Tyne,424668,565139,University of Newcastle,Public administration,1005.201342,England,54.98024941991828,-1.6161046850241139
8143,Leicester,459290,303080,University of Leicester,Public administration,1610.701371,England,52.62225613165146,-1.1256058884955455
8375,RAF Stafford,393500,325500,Ministry of Defence,Public administration,1573.363636,England,52.826986719208435,-2.0979093760639627
11958,Stratford CHP Energy Centre,538747,184829,Cofely East London Energy,Public administration,5659.033492,England,51.54530631321601,-0.0005070286853367142
