PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region
13059,"40 Bank Street, Canary Wharf",537568,180041,Canary Wharf Group plc,Construction,12.25394182,England
8249,Kemsley Mill CHP,591848,166167,E.ON UK CHP Ltd,"Paper, printing & publishing industries",89015.66086,England
8546,Wissington,566450,297150,British Sugar Plc,"Food, drink & tobacco industry",84847.56218,England
8550,Bury St Edmunds,586430,265310,British Sugar Plc,"Food, drink & tobacco industry",59256.51465,England
11745,Saddlebow Paper Mill,561410,317180,Palm Paper Ltd,"Paper, printing & publishing industries",49456.64712,England
11954,Partington Papermill,372814,392395,SAICA Containerboard UK Ltd,"Paper, printing & publishing industries",46827.39682,England
8540,Trafford Park,378200,397800,Cargill Plc,"Food, drink & tobacco industry",42193.4055,England
8248,Port of Liverpool CHP,333250,395550,E.ON UK CHP Ltd,Commercial,41240.40374,England
43106,Battersea Power Station,528795,177580,ENGIE Urban Energy Ltd,Construction,497.4377482,England
8547,Newark,479170,355190,British Sugar Plc,"Food, drink & tobacco industry",25673.85716,England
13050,Silvertown,542250,180250,T&L Sugars Ltd,"Food, drink & tobacco industry",23700.4307,England
8551,Cantley,638180,303640,British Sugar Plc,"Food, drink & tobacco industry",23210.61835,England
11113,Nechells,409350,288650,Smurfit Kappa UK Ltd,"Paper, printing & publishing industries",21041.25045,England
14395,Smurfitt Kappa Townsend Hook,570760,161780,Smurfitt Kappa UK Ltd,"Paper, printing & publishing industries",20871.32229,England
40464,Millerhill Recycling & Energy Recovery Centre,332240,670755,FCC Waste Services (UK) Limited,Commercial,19284.60125,Scotland
9065,Girvan Distillery,220250,599750,William Grant & Sons Distillers Ltd,"Food, drink & tobacco industry",18676.28558,Scotland
8769,Erith,550500,179300,Archer Daniels Midland Erith Ltd,"Food, drink & tobacco industry",18362.42499,England
43224,Milton Keynes Waste Recovery Park,481106,241698,AmeyCespa Limited,Commercial,14100.41268,England
1645,Wolverhampton,391600,299900,MES Environmental Ltd,Commercial,13535.47234,England
14425,Banbury,445282,241541,Jacobs Douwe Egberts OPS GB Ltd,"Food, drink & tobacco industry",13144.8438,England
8739,Prudhoe Mill,409500,563800,SCA Hygiene Products UK Ltd,"Paper, printing & publishing industries",12853.01297,England
13063,Portsmouth Naval Base,463600,100800,BAE Systems Surface Ships Ltd,Commercial,11923.91913,England
40724,Stoneywood Mill,389789,810831,Arjowiggins Scotland Ltd,"Paper, printing & publishing industries",11887.57978,Scotland
8292,Blackburn Paper Mill CHP,364610,424750,ScottishPower Generation Ltd,"Paper, printing & publishing industries",11861.15981,England
40529,Glenfiddich Distillery,332640,840886,William Grant & Sons Distillers Ltd,"Food, drink & tobacco industry",11366.52823,Scotland
8029,Workington Mill,300475,531230,Iggesund Paperboard (Workington) Ltd,"Paper, printing & publishing industries",11156.15779,England
14207,Purfleet,556870,177550,Pura Foods Ltd,"Food, drink & tobacco industry",10490.5596,England
14023,Bridgend Paper Mill,287800,187330,Northwood & Wepa Ltd,"Paper, printing & publishing industries",10218.18223,Wales
8715,Wigan,354700,406300,H J Heinz,"Food, drink & tobacco industry",10033.26104,England
