ï»¿PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region,Latitude,Longitude
13059,"40 Bank Street, Canary Wharf",537568,180041,Canary Wharf Group plc,Construction,12.25394182,England,51.50256950368164,-0.019366452849925362
8249,Kemsley Mill CHP,591848,166167,E.ON UK CHP Ltd,"Paper, printing & publishing industries",89015.66086,England,51.362164588795366,0.7543339079139735
8546,Wissington,566450,297150,British Sugar Plc,"Food, drink & tobacco industry",84847.56218,England,52.54675362071568,0.45330620048799275
8550,Bury St Edmunds,586430,265310,British Sugar Plc,"Food, drink & tobacco industry",59256.51465,England,52.25436807670089,0.7299021070607312
11745,Saddlebow Paper Mill,561410,317180,Palm Paper Ltd,"Paper, printing & publishing industries",49456.64712,England,52.72817786548485,0.3888335513364062
11954,Partington Papermill,372814,392395,SAICA Containerboard UK Ltd,"Paper, printing & publishing industries",46827.39682,England,53.42763786691373,-2.410602825093742
8540,Trafford Park,378200,397800,Cargill Plc,"Food, drink & tobacco industry",42193.4055,England,53.47647108654996,-2.329924232910167
8248,Port of Liverpool CHP,333250,395550,E.ON UK CHP Ltd,Commercial,41240.40374,England,53.45246049765014,-3.006622079015002
43106,Battersea Power Station,528795,177580,ENGIE Urban Energy Ltd,Construction,497.4377482,England,51.48251848981998,-0.1465880425719249
8547,Newark,479170,355190,British Sugar Plc,"Food, drink & tobacco industry",25673.85716,England,53.08806428822027,-0.8193590183479506
13050,Silvertown,542250,180250,T&L Sugars Ltd,"Food, drink & tobacco industry",23700.4307,England,51.50328959798106,0.04812859246838386
8551,Cantley,638180,303640,British Sugar Plc,"Food, drink & tobacco industry",23210.61835,England,52.578369962161595,1.513972659774667
11113,Nechells,409350,288650,Smurfit Kappa UK Ltd,"Paper, printing & publishing industries",21041.25045,England,52.495679399062034,-1.863709863890752
14395,Smurfitt Kappa Townsend Hook,570760,161780,Smurfitt Kappa UK Ltd,"Paper, printing & publishing industries",20871.32229,England,51.32948032363791,0.44963693931269005
40464,Millerhill Recycling & Energy Recovery Centre,332240,670755,FCC Waste Services (UK) Limited,Commercial,19284.60125,Scotland,55.92507651642661,-3.085928251875308
9065,Girvan Distillery,220250,599750,William Grant & Sons Distillers Ltd,"Food, drink & tobacco industry",18676.28558,Scotland,55.25905259680166,-4.83008988052673
8769,Erith,550500,179300,Archer Daniels Midland Erith Ltd,"Food, drink & tobacco industry",18362.42499,England,51.492619124426035,0.16649984571756402
43224,Milton Keynes Waste Recovery Park,481106,241698,AmeyCespa Limited,Commercial,14100.41268,England,52.06772497447299,-0.8182083023867233
1645,Wolverhampton,391600,299900,MES Environmental Ltd,Commercial,13535.47234,England,52.59682675859126,-2.1254442658750676
14425,Banbury,445282,241541,Jacobs Douwe Egberts OPS GB Ltd,"Food, drink & tobacco industry",13144.8438,England,52.070393640942314,-1.3407907623757132
8739,Prudhoe Mill,409500,563800,SCA Hygiene Products UK Ltd,"Paper, printing & publishing industries",12853.01297,England,54.96873349821972,-1.8531407022519306
13063,Portsmouth Naval Base,463600,100800,BAE Systems Surface Ships Ltd,Commercial,11923.91913,England,50.80327620247396,-1.0988220689630923
40724,Stoneywood Mill,389789,810831,Arjowiggins Scotland Ltd,"Paper, printing & publishing industries",11887.57978,Scotland,57.188172029985964,-2.170574406968648
8292,Blackburn Paper Mill CHP,364610,424750,ScottishPower Generation Ltd,"Paper, printing & publishing industries",11861.15981,England,53.71795295129811,-2.537742799019223
40529,Glenfiddich Distillery,332640,840886,William Grant & Sons Distillers Ltd,"Food, drink & tobacco industry",11366.52823,Scotland,57.45325137704377,-3.124175746090258
8029,Workington Mill,300475,531230,Iggesund Paperboard (Workington) Ltd,"Paper, printing & publishing industries",11156.15779,England,54.66628519783714,-3.54459682102557
14207,Purfleet,556870,177550,Pura Foods Ltd,"Food, drink & tobacco industry",10490.5596,England,51.47516630024705,0.25740533300996793
14023,Bridgend Paper Mill,287800,187330,Northwood & Wepa Ltd,"Paper, printing & publishing industries",10218.18223,Wales,51.5736363131845,-3.620424504515716
8715,Wigan,354700,406300,H J Heinz,"Food, drink & tobacco industry",10033.26104,England,53.55136425852475,-2.685205289533748
8421,Barrow Mill,319660,472720,Kimberly-Clark Ltd,"Paper, printing & publishing industries",9900.385437,England,54.14400373539374,-3.231375314758414
14446,Cameronbridge Distillery,334600,700000,Diageo Scotland Ltd,"Food, drink & tobacco industry",9795.204614,Scotland,56.188113807602356,-3.055321161770779
8517,Burneside Mills,350600,495880,James Cropper Plc,"Paper, printing & publishing industries",9607.511305,England,54.3560437939276,-2.7616188737668255
13706,Alba Proteins,350086,529648,Omega Proteins Ltd,"Food, drink & tobacco industry",9510.639175,England,54.65943526154494,-2.775252723424698
8688,Scarborough,504900,483600,McCain Foods (GB) Ltd,"Food, drink & tobacco industry",9447.008525,England,54.237362873041576,-0.3919944994946237
8295,Burton Latimer,488913,274853,Weetabix Ltd,"Food, drink & tobacco industry",9085.076945,England,52.364527159008226,-0.6956476834195853
8328,Stoke Bardolph,463760,341580,Chettles Ltd,"Food, drink & tobacco industry",9015.390199,England,52.96779844392365,-1.052093308738618
8687,Whittelsey,523800,297400,McCain Foods (GB) Ltd,"Food, drink & tobacco industry",8818.225361,England,52.56036004878418,-0.17517908209629823
14402,Nestle York,460500,453800,NestlÃÆÃÂ© UK Ltd,"Food, drink & tobacco industry",8735.143606,England,53.976731765767724,-1.0790521388335337
13700,Leicester,456277,308055,Walkers Snack Foods Ltd,"Food, drink & tobacco industry",8701.451231,England,52.66729522712347,-1.169261836344479
13761,Tweed Valley Maltings,398724,651978,Simpsons Malt Ltd,"Food, drink & tobacco industry",8581.995338,England,55.76115325956444,-2.021901108078464
11386,North British Distillery,322824,672552,North British Distillery Co Ltd,"Food, drink & tobacco industry",8267.142254,Scotland,55.939797923887994,-3.2370883497738214
11433,Glenochil,285080,696020,Kerry Ingredients (UK) Ltd,"Food, drink & tobacco industry",8053.846222,Scotland,56.14299271701993,-3.8511042719310553
13746,Bury St Edmunds Maltings,585993,265121,Pauls Malt Ltd,"Food, drink & tobacco industry",7800.847721,England,52.25281860291848,0.7234036045351361
40272,Overton Mill,451736,150947,Portals De La Rue Ltd,"Paper, printing & publishing industries",7800.080392,England,51.25534888843252,-1.2600243997866598
11122,Tissue and Towel Plant,378750,397810,SCA Hygiene Products Manchester Ltd,"Paper, printing & publishing industries",7638.524553,England,53.47658357654919,-2.321638317789695
14215,Royal Forest Factory,357337,209938,Lucozade Ribena Suntory Ltd,"Food, drink & tobacco industry",7507.085915,England,51.786463721866575,-2.619900288869506
