PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region
8878,Middlesbrough,456500,523700,Northumbrian Water,Water & sewerage,4089.468393,England
8489,Avonmouth STW,353303,179304,Wessex Water Services Ltd,Water & sewerage,2673.766601,England
11739,Beckton STW,544400,182300,Thames Water Utilities Ltd,Water & sewerage,2579.228845,England
13441,Riverside STW,551749,182195,Thames Water Utilities Ltd,Water & sewerage,1378.369394,England
13620,Belfast WWTW,147725,532762,Veolia Water Outsourcing Ltd,Water & sewerage,826.7381345,Northern Ireland
8440,Crossness STW,548200,180700,Thames Water Utilities Ltd,Water & sewerage,667.2019882,England
14248,Levenmouth WWTW,336000,699570,Caledonian Environmental Levenmouth Treatment Services Ltd,Water & sewerage,605.6337273,Scotland
8439,Deephams STW,535600,193700,Thames Water Utilities Ltd,Water & sewerage,285.2825127,England
8438,Mogden STW,515249,175117,Thames Water Utilities Ltd,Water & sewerage,257.4781145,England
13717,Mersey Valley Sludge Processing Centre,353496,386111,United Utilities Water plc,Water & sewerage,220.9276364,England
8437,Longreach STW,555100,176500,Thames Water Utilities Ltd,Water & sewerage,218.9248145,England
40251,Grafham WWTW,515547,266617,Anglian Water Services Ltd,Water & sewerage,170.1844718,England
8442,Ryemeads STW,539200,210300,Thames Water Utilities Ltd,Water & sewerage,86.76570273,England
8394,Huntington Sewage Works,342000,363700,United Utilities Water Plc,Water & sewerage,51.147,England
