ï»¿PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region,Latitude,Longitude
8878,Middlesbrough,456500,523700,Northumbrian Water,Water & sewerage,4089.468393,England,54.60531783703505,-1.1268484538063008
8489,Avonmouth STW,353303,179304,Wessex Water Services Ltd,Water & sewerage,2673.766601,England,51.51072246643839,-2.6742780011937275
11739,Beckton STW,544400,182300,Thames Water Utilities Ltd,Water & sewerage,2579.228845,England,51.521165180230525,0.07992267442049916
13441,Riverside STW,551749,182195,Thames Water Utilities Ltd,Water & sewerage,1378.369394,England,51.51829689107698,0.18572172924347027
13620,Belfast WWTW,147725,532762,Veolia Water Outsourcing Ltd,Water & sewerage,826.7381345,Northern Ireland,54.62675234904905,-5.909947588203957
8440,Crossness STW,548200,180700,Thames Water Utilities Ltd,Water & sewerage,667.2019882,England,51.50580546561324,0.13398173731407312
14248,Levenmouth WWTW,336000,699570,Caledonian Environmental Levenmouth Treatment Services Ltd,Water & sewerage,605.6337273,Scotland,56.184441613947314,-3.032664592634014
8439,Deephams STW,535600,193700,Thames Water Utilities Ltd,Water & sewerage,285.2825127,England,51.62578616455144,-0.04243808228953741
8438,Mogden STW,515249,175117,Thames Water Utilities Ltd,Water & sewerage,257.4781145,England,51.46330138164712,-0.34237635443815617
13717,Mersey Valley Sludge Processing Centre,353496,386111,United Utilities Water plc,Water & sewerage,220.9276364,England,53.36980425006349,-2.700382562840429
8437,Longreach STW,555100,176500,Thames Water Utilities Ltd,Water & sewerage,218.9248145,England,51.46621998628902,0.23147927536042945
40251,Grafham WWTW,515547,266617,Anglian Water Services Ltd,Water & sewerage,170.1844718,England,52.285554204136744,-0.30749167989876364
8442,Ryemeads STW,539200,210300,Thames Water Utilities Ltd,Water & sewerage,86.76570273,England,51.77406898873763,0.016155404322738865
8394,Huntington Sewage Works,342000,363700,United Utilities Water Plc,Water & sewerage,51.147,England,53.16724150487583,-2.869043353572733
